movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,Combined
escape room,Horror Thriller Mystery,Adam Robitel ,Taylor Russell, Logan Miller, Deborah Ann Woll,escape roomTaylor Russell Logan Miller Deborah Ann WollAdam Robitel Horror Thriller Mystery
rust creek,Thriller Drama Action Crime,Jen McGowan ,Hermione Corfield, Jay Paulson, Sean O'Bryan,rust creekHermione Corfield Jay Paulson Sean O'BryanJen McGowan Thriller Drama Action Crime
american hangman,Thriller,Wilson Coneybeare ,Donald Sutherland, Vincent Kartheiser, Oliver Dennis,american hangmanDonald Sutherland Vincent Kartheiser Oliver DennisWilson Coneybeare Thriller
a dog's way home,Drama Adventure Family,Charles Martin Smith ,Bryce Dallas Howard, Edward James Olmos, Alexandra Shipp,a dog's way homeBryce Dallas Howard Edward James Olmos Alexandra ShippCharles Martin Smith Drama Adventure Family
the upside,Comedy Drama,Neil Burger ,Bryan Cranston, Kevin Hart, Nicole Kidman,the upsideBryan Cranston Kevin Hart Nicole KidmanNeil Burger Comedy Drama
replicas,Science Fiction Thriller Drama,Jeffrey Nachmanoff ,Keanu Reeves,unknown,unknown,replicasKeanu ReevesunknownunknownJeffrey Nachmanoff Science Fiction Thriller Drama
after darkness,Drama Family Thriller Science Fiction,Batán Silva ,Natalia Dyer, Kyra Sedgwick, Tim Daly,after darknessNatalia Dyer Kyra Sedgwick Tim DalyBatán Silva Drama Family Thriller Science Fiction
glass,Mystery Thriller Comedy,M. Night Shyamalan ,James McAvoy, Bruce Willis, Samuel L. Jackson,glassJames McAvoy Bruce Willis Samuel L. JacksonM. Night Shyamalan Mystery Thriller Comedy
close,Drama,Vicky Jewson ,Noomi Rapace, Sophie Nélisse, Indira Varma,closeNoomi Rapace Sophie Nélisse Indira VarmaVicky Jewson Drama
the standoff at sparrow creek,Drama Thriller Mystery,Henry Dunham ,James Badge Dale, Brian Geraghty,unknown,the standoff at sparrow creekJames Badge Dale Brian GeraghtyunknownHenry Dunham Drama Thriller Mystery
the final wish,Horror,Timothy Woodward Jr. ,Lin Shaye, Michael Welch, Melissa Bolona,the final wishLin Shaye Michael Welch Melissa BolonaTimothy Woodward Jr. Horror
the kid who would be king,Action Adventure Fantasy Family,Joe Cornish ,Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor,the kid who would be kingLouis Ashbourne Serkis Dean Chaumoo Tom TaylorJoe Cornish Action Adventure Fantasy Family
serenity,Science Fiction Action Adventure Thriller,Steven Knight ,Matthew McConaughey, Anne Hathaway, Jason Clarke,serenityMatthew McConaughey Anne Hathaway Jason ClarkeSteven Knight Science Fiction Action Adventure Thriller
i am mother,Science Fiction Thriller,"Grant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard, Rose Byrne, Hilary Swank",unknown, Michael Lloyd Green (screenplay/story), Clara Rugaard,"i am motherunknown Michael Lloyd Green (screenplay/story) Clara RugaardGrant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard, Rose Byrne, Hilary SwankScience Fiction Thriller"
the vast of night,Mystery Science Fiction Thriller Drama,"Andrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick, Jake Horowitz",unknown, James Montague, Craig W. Sanger (writers); Sierra McCormick,"the vast of nightunknown James Montague Craig W. Sanger (writers); Sierra McCormickAndrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick, Jake HorowitzMystery Science Fiction Thriller Drama"
miss bala,Action,Catherine Hardwicke ,Gina Rodriguez, Ismael Cruz Córdova, Anthony Mackie,miss balaGina Rodriguez Ismael Cruz Córdova Anthony MackieCatherine Hardwicke Action
velvet buzzsaw,Thriller Mystery Horror,Dan Gilroy ,Jake Gyllenhaal, Rene Russo, Toni Collette,velvet buzzsawJake Gyllenhaal Rene Russo Toni ColletteDan Gilroy Thriller Mystery Horror
piercing,Horror Thriller Mystery,Nicolas Pesce ,Christopher Abbott, Mia Wasikowska, Laia Costa,piercingChristopher Abbott Mia Wasikowska Laia CostaNicolas Pesce Horror Thriller Mystery
the lego movie 2: the second part,Action Adventure Animation Comedy Family,Mike Mitchell ,Chris Pratt, Elizabeth Banks, Tiffany Haddish,the lego movie 2: the second partChris Pratt Elizabeth Banks Tiffany HaddishMike Mitchell Action Adventure Animation Comedy Family
what men want,Comedy Romance,Adam Shankman ,Taraji P. Henson, Tracy Morgan, Max Greenfield,what men wantTaraji P. Henson Tracy Morgan Max GreenfieldAdam Shankman Comedy Romance
cold pursuit,Action Crime Thriller,Hans Petter Moland ,Liam Neeson, Tom Bateman, Tom Jackson,cold pursuitLiam Neeson Tom Bateman Tom JacksonHans Petter Moland Action Crime Thriller
high flying bird,Drama,Steven Soderbergh ,André Holland, Zazie Beetz, Melvin Gregg,high flying birdAndré Holland Zazie Beetz Melvin GreggSteven Soderbergh Drama
the prodigy,Horror Thriller,Nicholas McCarthy ,Taylor Schilling, Peter Mooney, Colm Feore,the prodigyTaylor Schilling Peter Mooney Colm FeoreNicholas McCarthy Horror Thriller
isn't it romantic,Comedy Fantasy Romance,Todd Strauss-Schulson ,Rebel Wilson, Liam Hemsworth, Adam DeVine,isn't it romanticRebel Wilson Liam Hemsworth Adam DeVineTodd Strauss-Schulson Comedy Fantasy Romance
happy death day 2u,Comedy Horror Science Fiction,Christopher Landon ,Jessica Rothe, Israel Broussard, Phi Vu,happy death day 2uJessica Rothe Israel Broussard Phi VuChristopher Landon Comedy Horror Science Fiction
alita: battle angel,Action Science Fiction Adventure,Robert Rodriguez ,Rosa Salazar, Christoph Waltz, Jennifer Connelly,alita: battle angelRosa Salazar Christoph Waltz Jennifer ConnellyRobert Rodriguez Action Science Fiction Adventure
how to train your dragon: the hidden world,Animation Family Adventure,Dean DeBlois ,Jay Baruchel, America Ferrera, Cate Blanchett,how to train your dragon: the hidden worldJay Baruchel America Ferrera Cate BlanchettDean DeBlois Animation Family Adventure
fighting with my family,Comedy,Stephen Merchant ,Florence Pugh, Lena Headey, Nick Frost,fighting with my familyFlorence Pugh Lena Headey Nick FrostStephen Merchant Comedy
tyler perry's a madea family funeral,Comedy,Tyler Perry ,Tyler Perry, Courtney Burrell, Patrice Lovely,tyler perry's a madea family funeralTyler Perry Courtney Burrell Patrice LovelyTyler Perry Comedy
greta,Mystery Thriller Horror,Neil Jordan ,Isabelle Huppert, Chloë Grace Moretz, Maika Monroe,gretaIsabelle Huppert Chloë Grace Moretz Maika MonroeNeil Jordan Mystery Thriller Horror
triple frontier,Action Thriller Crime Adventure,J. C. Chandor ,Ben Affleck, Oscar Isaac, Charlie Hunnam,triple frontierBen Affleck Oscar Isaac Charlie HunnamJ. C. Chandor Action Thriller Crime Adventure
captain marvel,Action Adventure Science Fiction,"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law",Brie Larson, Samuel L. Jackson, Ben Mendelsohn,"captain marvelBrie Larson Samuel L. Jackson Ben MendelsohnAnna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude LawAction Adventure Science Fiction"
the kid,Fantasy Comedy Family,Vincent D'Onofrio ,Ethan Hawke, Dane DeHaan, Jake Schur,the kidEthan Hawke Dane DeHaan Jake SchurVincent D'Onofrio Fantasy Comedy Family
wonder park,Comedy Animation Adventure Family Fantasy,"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver",Brianna Denski, Ken Hudson Campbell, Matthew Broderick,"wonder parkBrianna Denski Ken Hudson Campbell Matthew BroderickJosh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John OliverComedy Animation Adventure Family Fantasy"
