,movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,genres,Combined
0,pirates of the caribbean: dead men tell no tales,Johnny Depp,Javier Bardem,Geoffrey Rush,Joachim Rønning Espen Sandberg,Adventure Action Fantasy Comedy,pirates of the caribbean: dead men tell no talesJohnny DeppJavier BardemGeoffrey RushJoachim Rønning Espen SandbergAdventure Action Fantasy Comedy
1,justice league,Ben Affleck,Henry Cavill,Gal Gadot,Zack Snyder,Action Adventure Fantasy Sci-Fi,justice leagueBen AffleckHenry CavillGal GadotZack SnyderAction Adventure Fantasy Sci-Fi
2,thor: ragnarok,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Taika Waititi,Action Adventure Fantasy Sci-Fi,thor: ragnarokChris HemsworthTom HiddlestonCate BlanchettTaika WaititiAction Adventure Fantasy Sci-Fi
3,guardians of the galaxy vol. 2,Chris Pratt,Zoe Saldana,Dave Bautista,James Gunn,Action Adventure Comedy Sci-Fi,guardians of the galaxy vol. 2Chris PrattZoe SaldanaDave BautistaJames GunnAction Adventure Comedy Sci-Fi
4,the king's daughter,Pierce Brosnan,William Hurt,Benjamin Walker,Sean McNamara,Fantasy Action Adventure,the king's daughterPierce BrosnanWilliam HurtBenjamin WalkerSean McNamaraFantasy Action Adventure
5,extinction: nature has evolved,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Adam Spinks,Thriller Adventure,extinction: nature has evolvedBen Loyd-HolmesSarah MacNeil NewbonAdam SpinksThriller Adventure
6,for here or to go?,Ali Fazal,Melanie Chandra,Omi Vaidya,Rucha Humnabadkar,Drama Comedy,for here or to go?Ali FazalMelanie ChandraOmi VaidyaRucha HumnabadkarDrama Comedy
7,guardians,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,Sarik Andreasyan,Action Fantasy Sci-Fi,guardiansAnton PampushnyySanzhar MadiyevSebastien SisakSarik AndreasyanAction Fantasy Sci-Fi
8,the outcasts,Victoria Justice,Eden Sher,Ashley Rickards,Peter Hutchings,Comedy,the outcastsVictoria JusticeEden SherAshley RickardsPeter HutchingsComedy
9,wonder woman,Gal Gadot,Chris Pine,Robin Wright,Patty Jenkins,Action Adventure Fantasy,wonder womanGal GadotChris PineRobin WrightPatty JenkinsAction Adventure Fantasy
