movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,genres,Combined
pirates of the caribbean: dead men tell no tales,Johnny Depp,Javier Bardem,Geoffrey Rush,Joachim Rønning Espen Sandberg,Adventure Action Fantasy Comedy,pirates of the caribbean: dead men tell no talesJohnny DeppJavier BardemGeoffrey RushJoachim Rønning Espen SandbergAdventure Action Fantasy Comedy
justice league,Ben Affleck,Henry Cavill,Gal Gadot,Zack Snyder,Action Adventure Fantasy Sci-Fi,justice leagueBen AffleckHenry CavillGal GadotZack SnyderAction Adventure Fantasy Sci-Fi
thor: ragnarok,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Taika Waititi,Action Adventure Fantasy Sci-Fi,thor: ragnarokChris HemsworthTom HiddlestonCate BlanchettTaika WaititiAction Adventure Fantasy Sci-Fi
guardians of the galaxy vol. 2,Chris Pratt,Zoe Saldana,Dave Bautista,James Gunn,Action Adventure Comedy Sci-Fi,guardians of the galaxy vol. 2Chris PrattZoe SaldanaDave BautistaJames GunnAction Adventure Comedy Sci-Fi
the king's daughter,Pierce Brosnan,William Hurt,Benjamin Walker,Sean McNamara,Fantasy Action Adventure,the king's daughterPierce BrosnanWilliam HurtBenjamin WalkerSean McNamaraFantasy Action Adventure
extinction: nature has evolved,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Adam Spinks,Thriller Adventure,extinction: nature has evolvedBen Loyd-HolmesSarah MacNeil NewbonAdam SpinksThriller Adventure
for here or to go?,Ali Fazal,Melanie Chandra,Omi Vaidya,Rucha Humnabadkar,Drama Comedy,for here or to go?Ali FazalMelanie ChandraOmi VaidyaRucha HumnabadkarDrama Comedy
guardians,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,Sarik Andreasyan,Action Fantasy Sci-Fi,guardiansAnton PampushnyySanzhar MadiyevSebastien SisakSarik AndreasyanAction Fantasy Sci-Fi
the outcasts,Victoria Justice,Eden Sher,Ashley Rickards,Peter Hutchings,Comedy,the outcastsVictoria JusticeEden SherAshley RickardsPeter HutchingsComedy
wonder woman,Gal Gadot,Chris Pine,Robin Wright,Patty Jenkins,Action Adventure Fantasy,wonder womanGal GadotChris PineRobin WrightPatty JenkinsAction Adventure Fantasy
sly cooper,Chris Murphy,Ian James Corlett,Matt Olsen,Kevin Munroe,Animation Adventure Comedy Action Family,sly cooperChris MurphyIan James CorlettMatt OlsenKevin MunroeAnimation Adventure Comedy Action Family
pitch perfect 3,Anna Kendrick,Rebel Wilson,Brittany Snow,Trish Sie,Comedy,pitch perfect 3Anna KendrickRebel WilsonBrittany SnowTrish SieComedy
the devil's candy,Ethan Embry,Shiri Appleby,Kiara Glasco,Sean Byrne,Horror,the devil's candyEthan EmbryShiri ApplebyKiara GlascoSean ByrneHorror
las plantas,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,Roberto Doveris,Drama,las plantasVioleta CastilloIngrid IsenseeMauricio VacaRoberto DoverisDrama
"return to return to nuke 'em high, aka volume 2",Asta Paredes,Catherine Corcoran,Zac Amino,Lloyd Kaufman,Comedy Horror,"return to return to nuke 'em high, aka volume 2Asta ParedesCatherine CorcoranZac AminoLloyd KaufmanComedy Horror"
the cheerleader murders,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,David Jackson,TV Movie Thriller,the cheerleader murdersAmanda LeightonSamantha BoscarinoHannah KasulkaDavid JacksonTV Movie Thriller
dean,Demetri Martin,Gillian Jacobs,Christine Woods,Demetri Martin,Comedy,deanDemetri MartinGillian JacobsChristine WoodsDemetri MartinComedy
leatherface,Stephen Dorff,Lili Taylor,Sam Strike,Alexandre Bustillo Julien Maury,Horror,leatherfaceStephen DorffLili TaylorSam StrikeAlexandre Bustillo Julien MauryHorror
47 meters down,Claire Holt,Mandy Moore,Chris Johnson,Johannes Roberts,Drama Thriller Horror Adventure,47 meters downClaire HoltMandy MooreChris JohnsonJohannes RobertsDrama Thriller Horror Adventure
porto,Lucie Lucas,Anton Yelchin,Paulo Calatré,Gabe Klinger,Romance Drama,portoLucie LucasAnton YelchinPaulo CalatréGabe KlingerRomance Drama
mamaboy,Sean O'Donnell,Alexandria DeBerry,Gary Busey,Aaron Leong,Comedy Drama Family Fantasy Romance Sci-Fi,mamaboySean O'DonnellAlexandria DeBerryGary BuseyAaron LeongComedy Drama Family Fantasy Romance Sci-Fi
all eyez on me,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,Benny Boom,Drama Music,all eyez on meDemetrius Shipp Jr.Danai GuriraKat GrahamBenny BoomDrama Music
colossal,Anne Hathaway,Jason Sudeikis,Tim Blake Nelson,Nacho Vigalondo,Action Comedy Drama Fantasy Sci-Fi,colossalAnne HathawayJason SudeikisTim Blake NelsonNacho VigalondoAction Comedy Drama Fantasy Sci-Fi
london town,Jonathan Rhys Meyers,Daniel Huttlestone,Dougray Scott,Derrick Borte,Drama Music,london townJonathan Rhys MeyersDaniel HuttlestoneDougray ScottDerrick BorteDrama Music
brimstone,Guy Pearce,Dakota Fanning,Carice van Houten,Martin Koolhoven,Mystery Thriller Western,brimstoneGuy PearceDakota FanningCarice van HoutenMartin KoolhovenMystery Thriller Western
the white king,Agyness Deyn,Jonathan Pryce,Fiona Shaw,Alex Helfrecht Jörg Tittel,Drama Sci-Fi,the white kingAgyness DeynJonathan PryceFiona ShawAlex Helfrecht Jörg TittelDrama Sci-Fi
risk,Julian Assange,Sarah Harrison,Jacob Appelbaum,Laura Poitras,Documentary,riskJulian AssangeSarah HarrisonJacob AppelbaumLaura PoitrasDocumentary
shangri-la suite,Emily Browning,Luke Grimes,Ron Livingston,Eddie O'Keefe,Romance Drama Crime,shangri-la suiteEmily BrowningLuke GrimesRon LivingstonEddie O'KeefeRomance Drama Crime
godless,Irena Ivanova,Ivan Nalbantov,Ventzislav Konstantinov,Ralitza Petrova,Drama,godlessIrena IvanovaIvan NalbantovVentzislav KonstantinovRalitza PetrovaDrama
the space between us,Asa Butterfield,Britt Robertson,Carla Gugino,Peter Chelsom,Romance Adventure Sci-Fi Drama,the space between usAsa ButterfieldBritt RobertsonCarla GuginoPeter ChelsomRomance Adventure Sci-Fi Drama
i am not your negro,Samuel L. Jackson,James Baldwin,Malcolm X,Raoul Peck,Documentary,i am not your negroSamuel L. JacksonJames BaldwinMalcolm XRaoul PeckDocumentary
a dog's purpose,Dennis Quaid,Britt Robertson,Josh Gad,Lasse Hallström,Comedy Drama Family Fantasy,a dog's purposeDennis QuaidBritt RobertsonJosh GadLasse HallströmComedy Drama Family Fantasy
manifesto,Cate Blanchett,Erika Bauer,Ruby Bustamante,Julian Rosefeldt,Drama,manifestoCate BlanchettErika BauerRuby BustamanteJulian RosefeldtDrama
the little hours,Alison Brie,Dave Franco,Aubrey Plaza,Jeff Baena,Comedy,the little hoursAlison BrieDave FrancoAubrey PlazaJeff BaenaComedy
fist fight,Charlie Day,Ice Cube,Tracy Morgan,Richie Keen,Comedy,fist fightCharlie DayIce CubeTracy MorganRichie KeenComedy
